user_id,first_login_date,Date
1,2022-08-01,2022-08-01
2,2022-08-01,2022-08-01
3,2022-08-01,2022-08-01
4,2022-08-01,2022-08-01
5,2022-08-01,2022-08-01
6,2022-08-01,2022-08-01
7,2022-08-01,2022-08-01
8,2022-08-01,2022-08-02
9,2022-08-01,2022-08-02
10,2022-08-02,2022-08-02
11,2022-08-02,2022-08-02
14,2022-08-03,2022-08-03
12,2022-08-02,2022-08-02
15,2022-08-03,2022-08-03
16,2022-08-03,2022-08-03
17,2022-08-03,2022-08-03
18,2022-08-04,2022-08-04
19,2022-08-04,2022-08-04
20,2022-08-04,2022-08-04
21,2022-08-04,2022-08-04
22,2022-08-05,2022-08-05
23,2022-08-05,2022-08-05
24,2022-08-05,2022-08-05
25,2022-08-06,2022-08-06
26,2022-08-06,2022-08-06
27,2022-08-08,2022-08-08
28,2022-08-09,2022-08-09
29,2022-08-14,2022-08-14
30,2022-08-14,2022-08-15
